train_perplexity_conv_lstm_transfer_learning,test_perplexity_conv_lstm_transfer_learning,train_loss_conv_lstm_transfer_learning,test_loss_conv_lstm_transfer_learning
"tf.Tensor(1.09097, shape=(), dtype=float32)","tf.Tensor(7121.2944, shape=(), dtype=float32)","tf.Tensor(0.21658419, shape=(), dtype=float32)","tf.Tensor(0.938413, shape=(), dtype=float32)"
"tf.Tensor(1.080353, shape=(), dtype=float32)","tf.Tensor(7047.3027, shape=(), dtype=float32)","tf.Tensor(0.20833355, shape=(), dtype=float32)","tf.Tensor(0.9408196, shape=(), dtype=float32)"
"tf.Tensor(1.0692123, shape=(), dtype=float32)","tf.Tensor(6801.685, shape=(), dtype=float32)","tf.Tensor(0.19962697, shape=(), dtype=float32)","tf.Tensor(0.94002813, shape=(), dtype=float32)"
"tf.Tensor(1.0574936, shape=(), dtype=float32)","tf.Tensor(7938.343, shape=(), dtype=float32)","tf.Tensor(0.19032708, shape=(), dtype=float32)","tf.Tensor(0.95314044, shape=(), dtype=float32)"
"tf.Tensor(1.0471104, shape=(), dtype=float32)","tf.Tensor(9192.815, shape=(), dtype=float32)","tf.Tensor(0.18203607, shape=(), dtype=float32)","tf.Tensor(0.9677931, shape=(), dtype=float32)"
"tf.Tensor(1.0405382, shape=(), dtype=float32)","tf.Tensor(8605.052, shape=(), dtype=float32)","tf.Tensor(0.17674385, shape=(), dtype=float32)","tf.Tensor(0.96452475, shape=(), dtype=float32)"
"tf.Tensor(1.0344727, shape=(), dtype=float32)","tf.Tensor(8756.4795, shape=(), dtype=float32)","tf.Tensor(0.1718103, shape=(), dtype=float32)","tf.Tensor(0.96471745, shape=(), dtype=float32)"
"tf.Tensor(1.0287292, shape=(), dtype=float32)","tf.Tensor(11529.401, shape=(), dtype=float32)","tf.Tensor(0.16710961, shape=(), dtype=float32)","tf.Tensor(0.98591185, shape=(), dtype=float32)"
"tf.Tensor(1.021313, shape=(), dtype=float32)","tf.Tensor(11373.326, shape=(), dtype=float32)","tf.Tensor(0.16102386, shape=(), dtype=float32)","tf.Tensor(0.98306733, shape=(), dtype=float32)"
"tf.Tensor(1.0145668, shape=(), dtype=float32)","tf.Tensor(11633.494, shape=(), dtype=float32)","tf.Tensor(0.15543878, shape=(), dtype=float32)","tf.Tensor(0.98195314, shape=(), dtype=float32)"
"tf.Tensor(1.0077599, shape=(), dtype=float32)","tf.Tensor(13080.203, shape=(), dtype=float32)","tf.Tensor(0.14975819, shape=(), dtype=float32)","tf.Tensor(0.9937136, shape=(), dtype=float32)"
